,評分,店名,連結,地點,類型,晚餐價格,午餐價格,休息日
151,3.58,Oshokuji Dokoro Chanya~,https://tabelog.com/tw/okinawa/A4702/A470203/47028103/,,"沖繩料理, 豬肉涮涮鍋","JPY 8,000～JPY 9,999",-,-
152,3.58,Cucina Serale,https://tabelog.com/tw/okinawa/A4703/A470303/47022924/,,義大利料理,"JPY 5,000～JPY 5,999",-,-
153,3.58,Nashiro Dining,https://tabelog.com/tw/okinawa/A4704/A470402/47029552/,,西式自助餐,-,"JPY 4,000～JPY 4,999",-
154,3.58,Kobe Bar Nakanaka,https://tabelog.com/tw/okinawa/A4701/A470101/47004785/,美榮橋車站,"牛排, 餐飲酒館","JPY 8,000～JPY 9,999",-,星期日
155,3.58,Yakiniku Ryuumon,https://tabelog.com/tw/okinawa/A4701/A470101/47031138/,美榮橋車站,燒肉,"JPY 8,000～JPY 9,999",-,-
156,3.57,Kajin Hou,https://tabelog.com/tw/okinawa/A4702/A470202/47000232/,,"披薩, 咖啡店, 喫茶店",-,"JPY 1,000～JPY 1,999",星期二、星期三
157,3.57,Utopia Farm Miyakojima,https://tabelog.com/tw/okinawa/A4705/A470503/47001588/,,"水果聖代, 霜淇淋, 果汁吧攤",-,～JPY 999,星期日
158,3.57,HOUSE WITHOUT A KEY,https://tabelog.com/tw/okinawa/A4703/A470303/47024414/,,餐廳,"JPY 10,000～JPY 14,999","JPY 5,000～JPY 5,999",-
159,3.57,Aragaki Zenzai Ya,https://tabelog.com/tw/okinawa/A4702/A470202/47000155/,,剉冰,-,～JPY 999,星期一
160,3.57,Mitsuya Honpo Onna No Eki Nakayukui Ichiba Ten,https://tabelog.com/tw/okinawa/A4703/A470303/47004517/,,甜甜圈,～JPY 999,-,-
161,3.57,Parlor Papaya,https://tabelog.com/tw/okinawa/A4705/A470501/47002411/,,"果汁吧攤, 咖啡店, 沖繩料理",～JPY 999,～JPY 999,-
162,3.57,Ara Koya,https://tabelog.com/tw/okinawa/A4701/A470101/47011365/,安里車站,"烤雞雜串, 串燒, 豬肉料理","JPY 3,000～JPY 3,999",-,-
163,3.57,Shimabuta Ishiyaki San,https://tabelog.com/tw/okinawa/A4701/A470101/47005508/,美榮橋車站,"豬肉涮涮鍋, 燒肉, 沖繩料理","JPY 6,000～JPY 7,999",-,-
164,3.57,Kichi Ya,https://tabelog.com/tw/okinawa/A4701/A470101/47013688/,縣政府前車站,"日式小酒館, 日本酒","JPY 4,000～JPY 4,999",-,-
165,3.57,Ishigakijima Sumibiyaki Gyugushi & Horumon Fujita,https://tabelog.com/tw/okinawa/A4705/A470501/47028500/,,"日式小酒館, 烤內臟, 燒肉","JPY 5,000～JPY 5,999",-,星期二
166,3.57,Wine Shokudo Trunk Italian Gohan Kumoji Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47004717/,縣政府前車站,"義大利料理, 洋酒吧, 日式小酒館","JPY 4,000～JPY 4,999",-,星期一、星期二、星期三
167,3.57,Shima Ryouri Yafayafa,https://tabelog.com/tw/okinawa/A4705/A470501/47024108/,,"日式小酒館, 沖繩料理","JPY 3,000～JPY 3,999",-,星期日
168,3.57,Ryukyu Shabushabu Yutaka,https://tabelog.com/tw/okinawa/A4701/A470101/47011878/,縣政府前車站,"日式小酒館, 豬肉涮涮鍋, 郷土料理","JPY 5,000～JPY 5,999",-,星期一
169,3.57,Ryugu,https://tabelog.com/tw/okinawa/A4705/A470503/47002002/,,創作料理,"JPY 8,000～JPY 9,999",-,星期二
170,3.57,MAKAN MAKAN,https://tabelog.com/tw/okinawa/A4703/A470302/47001262/,,"中國菜, 飲茶・點心","JPY 6,000～JPY 7,999","JPY 3,000～JPY 3,999",-
171,3.57,Shima Italian Iyu,https://tabelog.com/tw/okinawa/A4705/A470501/47002029/,,義大利料理,"JPY 6,000～JPY 7,999",-,星期二
172,3.57,Oono Shoten,https://tabelog.com/tw/okinawa/A4705/A470501/47015176/,,"燒肉, 烤內臟","JPY 4,000～JPY 4,999",-,星期日
173,3.57,Sushi Dokoro Motoi,https://tabelog.com/tw/okinawa/A4701/A470101/47000306/,旭橋車站,壽司,"JPY 30,000～JPY 39,999",-,星期日、節假日
174,3.57,Shabushabu Morishima,https://tabelog.com/tw/okinawa/A4705/A470501/47028532/,,"涮涮鍋, 豬肉涮涮鍋, 日式小酒館","JPY 6,000～JPY 7,999",-,星期日
175,3.57,Maeda,https://tabelog.com/tw/okinawa/A4701/A470101/47014692/,縣政府前車站,沖繩料理,"JPY 10,000～JPY 14,999",-,星期日、節假日
176,3.57,Satoukibi,https://tabelog.com/tw/okinawa/A4705/A470502/47025025/,,沖繩料理,"JPY 3,000～JPY 3,999",-,-
177,3.57,YAKISHIN,https://tabelog.com/tw/okinawa/A4701/A470101/47031984/,美榮橋車站,烤雞肉串,"JPY 15,000～JPY 19,999",-,星期日
178,3.56,Shima Yasai Cafe Re:Hellow BEACH,https://tabelog.com/tw/okinawa/A4705/A470501/47007246/,,"咖啡店, 漢堡, 蛋糕","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
179,3.56,Yagi Ryori Sakae,https://tabelog.com/tw/okinawa/A4701/A470101/47000334/,牧志車站,"沖繩料理, 肉類料理, 日式小酒館","JPY 2,000～JPY 2,999",-,-
180,3.56,Jimanya Naha Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47009534/,美榮橋車站,"日式小酒館, 沖繩料理, 涮涮鍋","JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999",-
181,3.56,Irabu Soba Kame,https://tabelog.com/tw/okinawa/A4705/A470503/47013937/,,沖繩麵,-,～JPY 999,-
182,3.56,Ryukyu Meika Mitsuya Honpo Onna Ten,https://tabelog.com/tw/okinawa/A4703/A470303/47000361/,,"甜甜圈, 咖啡店",～JPY 999,～JPY 999,-
183,3.56,Naha Soba Dokoro Takaramachi Ga,https://tabelog.com/tw/okinawa/A4701/A470103/47027859/,赤嶺車站,"沖繩麵, 沖繩料理",～JPY 999,～JPY 999,-
184,3.56,Tsumande Nomeru Miyako Parlor Haisai!,https://tabelog.com/tw/okinawa/A4705/A470503/47029115/,,"日式小酒館, 沖繩料理, 海鮮","JPY 4,000～JPY 4,999",-,-
185,3.56,Yan Gwa,https://tabelog.com/tw/okinawa/A4706/A470601/47001595/,,沖繩麵,-,"JPY 1,000～JPY 1,999",星期三、星期日
186,3.56,soraniwa hotel and cafe,https://tabelog.com/tw/okinawa/A4705/A470503/47009290/,,"旅館, 咖啡店",-,"JPY 1,000～JPY 1,999",星期三
187,3.56,Miyako Gyu Yakiniku Tamashiro,https://tabelog.com/tw/okinawa/A4705/A470503/47026386/,,"燒肉, 烤內臟","JPY 8,000～JPY 9,999",-,-
188,3.56,Menya Marusho,https://tabelog.com/tw/okinawa/A4703/A470302/47020418/,,沖繩麵,-,"JPY 1,000～JPY 1,999",星期四、星期五
189,3.56,Shima Gohan Attakaya,https://tabelog.com/tw/okinawa/A4705/A470503/47027526/,,"食堂, 沖繩麵, 海鮮","JPY 3,000～JPY 3,999",-,星期一、星期二
190,3.56,Sumibi Yakitori Torijin Naha Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47028007/,牧志車站,"烤雞肉串, 日式小酒館","JPY 5,000～JPY 5,999",-,星期三
191,3.56,Miru Taiyo,https://tabelog.com/tw/okinawa/A4705/A470503/47015071/,,"日式小酒館, 沖繩料理, 海鮮","JPY 5,000～JPY 5,999",-,星期四
192,3.56,Heiwa En,https://tabelog.com/tw/okinawa/A4701/A470101/47000241/,旭橋車站,"燒肉, 韓國料理","JPY 8,000～JPY 9,999",-,星期二、星期三
193,3.56,Shima Oden Ebisu,https://tabelog.com/tw/okinawa/A4705/A470503/47030333/,,"日式小酒館, 關東煮, 沖繩料理","JPY 3,000～JPY 3,999",-,星期日
194,3.56,SPICE HERB HOLIDAY,https://tabelog.com/tw/okinawa/A4701/A470101/47013164/,美榮橋車站,泰式料理,"JPY 2,000～JPY 2,999",-,星期日
195,3.56,Onna Shokudo,https://tabelog.com/tw/okinawa/A4703/A470303/47015094/,,法式小酒館,"JPY 8,000～JPY 9,999",-,-
196,3.56,La Maison Claire 1853,https://tabelog.com/tw/okinawa/A4701/A470101/47002478/,縣政府前車站,"法式料理, 法式小酒館","JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999",星期日
197,3.56,Ibukuro,https://tabelog.com/tw/okinawa/A4704/A470403/47016824/,,創作料理,"JPY 10,000～JPY 14,999",-,星期一、星期二
198,3.56,kawamitsu shokudou,https://tabelog.com/tw/okinawa/A4705/A470503/47029444/,,"食堂, 沖繩料理","JPY 5,000～JPY 5,999","JPY 2,000～JPY 2,999",星期一
199,3.56,Miyahira Ryori Ten,https://tabelog.com/tw/okinawa/A4703/A470404/47027971/,,法式小酒館,"JPY 5,000～JPY 5,999",-,星期三、星期日
