,text,color,size,position,time,sn,userid
393,?????,#FFFFFF,1,0,691,41644995,sodragon
394,沒了？？？？？？？？？？？？？？？？？？,#FFFFFF,1,0,693,41165047,tsubakilee
395,沒歌詞,#FFFFFF,1,0,695,42597761,loenyen73
396,沒了？？？,#FFFFFF,1,0,696,40784995,yu2501171025
397,沒了????,#FFFFFF,1,0,696,41597809,nico7214034
398,嗚哇嗚哇 沒了～,#FFFFFF,1,0,700,41606752,a54494028
399,廣告30秒進來一分鐘,#FFFFFF,1,0,700,42845328,Zoe1010521
400,體感一分鐘,#FFFFFF,1,0,703,41322900,z9ha45pt26xo
401,好可愛,#FFFFFF,1,0,703,42107580,yyz0329
402,1分鐘XD,#BEBEBE,1,0,705,37310746,p1997201244
403,泡麵都還沒好,#FFFFFF,1,0,705,40822214,roubai1203
404,卡拉ok版（X,#FFFFFF,1,0,705,44295966,Sadone2005
405,？？？？？？？,#FFFFFF,1,0,710,43494643,kobeleobryan
406,真的體感一分鐘,#FFFFFF,1,0,712,37152327,tokl2508
407,體感一分鐘,#FFFFFF,1,0,713,41061847,A19971212
408,可以,#FFFFFF,1,0,714,42679294,cyc0321
409,？？？？？？,#FFFFFF,1,0,715,44405211,mika1011002
410,小八在結尾 可愛,#FFFFFF,1,0,717,37340486,ann84
411,西西不西西,#FFFFFF,1,0,717,44529568,st5109185
412,真的體感3秒,#FFFFFF,1,0,719,37884256,c107049
413,雖然知道很短但真的嚇到我了🤣,#FFFFFF,1,0,720,37941426,yenlin1004
414,沒了？,#FFFFFF,1,0,722,37101694,cheninda1234
415,??,#FFFFFF,1,0,722,44615965,LordXavier
416,哭啊 一分鐘的影片 要看三十秒的廣告,#FFFFFF,1,0,724,37533365,mo000136
417,為了這一分鐘看30秒廣告 廣告商賺爛,#FF0026,1,1,725,40950510,a52219951
418,6,#FFFFFF,1,0,725,44402511,house816
419,好快,#FFFFFF,1,0,727,41701454,gl0507
420,??????????,#FFFFFF,1,0,729,40204499,tsm55555
421,很可愛不要吵,#FFFFFF,1,0,729,42808044,JinAurora
422,蛤,#FFFFFF,1,0,733,40277838,s06578
423,幹太快,#FFFFFF,1,0,739,43662275,s3dh2
424,????????????????????????????,#FFFFFF,1,0,740,39857903,dc92044sony
425,好可愛,#FFFFFF,1,0,740,41984454,BHSN00000q3t
426,沒看過這麼快的,#FFFFFF,1,0,741,43778552,hp76249
427,骨感一分鐘,#FFFFFF,1,0,742,42038413,realandtrue
428,影片不到90秒 廣告30秒,#FFFFFF,1,0,743,44744721,a4391030
429,體感一分鐘...,#FFFFFF,1,0,746,37392590,x0902
430,好可愛啊啊啊,#FFFFFF,1,0,746,43182185,yinqiancai02
431,蛤 沒了,#FFFFFF,1,0,748,41446373,nehsh101
432,蛤,#FF9496,1,0,749,41591266,becky1020109
433,等一下 我不是剛看！？,#FDE53D,1,0,752,39616476,carnew681012
434,真•體感一分鐘,#FF0026,2,0,752,42456708,Rei9488
435,體感一分鐘,#FFFFFF,1,0,752,43474035,A15874875
436,好想吃,#FFFFFF,1,0,753,42317243,lois19920926
437,蛤...？,#FFFFFF,1,0,754,42896611,junhui9520
438,廣告30秒正片一分鐘 但是太可愛我願意😍,#FFFFFF,1,0,755,37146166,account77615
439,真的是一分鐘,#FFFFFF,1,0,758,38798423,shadow121010
440,等了30秒 看了一分鐘,#FFFFFF,1,0,758,40551109,kevin1998oo
441,這啥玩意兒XDDDD,#FFFFFF,1,0,761,38713656,RoaBoa850216
442,???????,#FFFFFF,1,0,761,42179798,cdfh1284841
443,好好吃的感覺,#FFFFFF,1,0,761,44155008,timlin0808
444,體感一分鐘,#FFFFFF,1,0,763,41692736,yymkc
445,體感一分鐘,#FFFFFF,1,0,764,41413599,a70888765
446,卡伊卡哇,#FFFFFF,1,0,765,40904144,Bokey1423
447,???????????????????????????,#FFFFFF,1,0,768,42455535,hau740212
448,又要廣告了,#FDE53D,1,2,769,43908625,Anima0415
449,30秒廣告看1分鐘,#FFFFFF,1,0,778,37350376,pig61012
450,三小怎麼沒了,#FFFFFF,1,0,780,43645639,kk0913538560
451,笑死,#FFFFFF,1,0,780,44680659,yuyi7613
452,我爱小八,#FFFFFF,1,0,786,37176837,Kthunderbolt
453,我還在思考正片在哪就沒了,#FFFFFF,1,0,788,42732366,A1010010
454,XDDDDDDD,#FFFFFF,1,0,789,40543495,ncbob
455,好萌呀～,#FF9496,1,0,790,43183033,win7288
456,魔性,#FFFFFF,1,0,792,41516350,love20201128
